Data on Pupils 1 attending primary schools in Northern Ireland 2015/16: SEN data,,,,
DE ref,Schoolname,Special Educational Needs,Code of Practice,(Stage 1 - 5 on code of practice)
4031328,"Christ The King Primary School, Ballynahinch",*,#,33
4031350,"St Malachy's Primary School, Kilclief",*,#,20
4031485,St Caolan's Primary School,*,#,9
4031526,"St Patrick's Primary School, Saul",6,43,49
4031531,"St Francis' Primary School, Drumaroad",6,23,29
4031550,"St Joseph's Primary School, Crossgar",*,#,27
4031628,"St Patrick's Primary School, Holywood",10,40,50
4031660,"St Joseph's Primary School, Carryduff",9,37,46
4031662,"St Mary's Primary School, Comber",*,#,20
4031663,"St Joseph's Primary School, Carnacaville",*,#,30
4031665,"St Patrick's Primary School, Ballynahinch",10,84,94
4031671,"St Patrick's Primary School, Castlewellan",*,#,7
4031672,"St Mary's Primary School, Saintfield",0,19,19
4031673,"St Mary's Primary School, Ardglass",5,15,20
4031676,"St Bernard's Primary School, Belfast",13,81,94
4033002,"St Mary's Primary School, Aughlisnafin",*,#,33
4033005,"St Joseph's Primary School, Strangford",*,#,13
4033007,"St Macartan's Primary School, Downpatrick",5,27,32
4033008,"St Anne's Primary School, Donaghadee",*,#,10
4033012,The Holy Family Primary School,5,43,48
4033017,St Finian's Primary School,*,#,24
4033028,"St Patrick's Primary School, Portaferry",*,#,16
4033036,"St Mary's Primary School, Killyleagh",*,#,35
4033037,"St Joseph's Primary School, Tyrella",*,#,15
4033040,"St Brigid's Primary School, Downpatrick",6,76,82
4033306,St Aloysius Primary School,11,81,92
4033307,"St Colman's Primary School, Lisburn",38,50,88
4036016,"St Joseph's Primary School, Killough",*,#,21
4036036,"St Malachy's Primary School, Kilcoo",0,35,35
4036113,"St Nicholas' Primary School, Ardglass",*,#,29
4036133,"Sacred Heart Primary School, Dundrum",*,#,7
4036146,"St Comgall's Primary School, Bangor",10,24,34
4036148,"St Malachy's Primary School, Bangor",11,53,64
4036182,"St Colmcille's Primary School, Downpatrick",40,28,68
4036285,The Good Shepherd Primary School,21,105,126
4036428,"St Mary's Primary School, Kircubbin",7,26,33
4036454,"St Malachy's Primary School, Castlewellan",34,67,101
4036455,"St Patrick's Primary School, Legamaddy",7,35,42
4036480,St Kieran's Primary School,20,99,119
