DE ref,Schoolname,total enrolment,fsme,free school meals
3046685,Gaelscoil Eanna,174,53,30.50%
3046691,Gaelscoil an tSeancha?,132,33,25.00%
3050519,Carnlough Controlled Integrated Primary School,32,13,40.60%
3050791,Glengormley Integrated Primary School,350,87,24.90%
3050859,Crumlin Controlled Intergrated Primary School,166,31,18.70%
3050866,Ballymoney Controlled Integrated Primary School,355,121,34.10%
3052071,Carhill Integrated Primary School,71,21,29.60%
3053333,Ballycastle Integrated Primary School,202,82,40.60%
3056231,Six Mile Integrated Primary School,105,59,56.20%
3056248,Round Tower Integrated Primary School,286,60,21.00%
3056708,Mallusk Controlled Integrated Primary School,21,*,*
3066544,Millstrand Integrated Primary School,245,83,33.90%
3066551,Braidside Integrated Primary School,314,114,36.30%
3066561,Corran Integrated Primary School,159,46,28.90%
3066568,Acorn Integrated Primary School,224,44,19.60%
3066613,Spires Integrated Primary School,193,46,23.80%
3066652,Maine Integrated Primary School,120,12,10.00%
4010512,McKinney Primary School Dundrod,154,21,13.60%
4010720,Ballycarrickmaddy Primary School,180,38,21.10%
4010743,Largymore Primary School,176,87,49.40%
4010762,Brownlee Primary School,200,54,27.00%
4010788,Dunmurry Primary School,212,64,30.20%
4010807,Lisburn Central Primary School,220,96,43.60%
4010882,Seymour Hill Primary School,236,107,45.30%
4010885,Tonagh Primary School,240,111,46.30%
4011265,Ballyvester Primary School,123,18,14.60%
4011300,Grey Abbey Primary School,93,22,23.70%
4011310,Carrickmannon Primary School,103,11,10.70%
4011345,Newtownards Model Primary School,410,105,25.60%
4011373,Kirkistown Primary School,81,19,23.50%
4011462,Castle Gardens Primary School,255,73,28.60%
4011488,"Victoria Primary School, Ballyhalbert",141,47,33.30%
4011507,Portavogie Primary School,261,39,14.90%
4011566,Ballywalter Primary School,168,67,39.90%
4011567,Ballynahinch Primary School,220,57,25.90%
4011578,Derryboy Primary School,81,25,30.90%
4011584,Carr Primary School,70,14,20.00%
4011587,Dundonald Primary School,846,153,18.10%
4011588,Comber Primary School,388,90,23.20%
4011599,Castlewellan Primary School,51,23,45.10%
4011606,Gilnahirk Primary School,422,60,14.20%
4011608,Anahilt Primary School,141,18,12.80%
4011619,Dromara Primary School,181,47,26.00%
4011631,Holywood Primary School,458,90,19.70%
4011632,Cregagh Primary School,178,97,54.50%
4011645,Crawfordsburn Primary School,210,18,8.60%
4011646,"Victoria Primary School, Newtownards",560,175,31.30%
4011650,Ballyholme Primary School,628,60,9.60%
4011654,Donaghadee Primary School,459,96,20.90%
4011657,Lisnasharragh Primary School,334,91,27.20%
4011670,Clandeboye Primary School,331,149,45.00%
4011674,Knockbreda Primary School,195,46,23.60%
4011681,Millisle Primary School,227,83,36.60%
4011683,Braniel Primary School,437,146,33.40%
4011698,Newcastle Primary School,187,65,34.80%
4011699,Moneyrea Primary School,209,18,8.60%
4013013,Belvoir Park Primary School,296,121,40.90%
4013023,Bloomfield Primary School,447,225,50.30%
4013024,Cairnshill Primary School,544,70,12.90%
4013038,Tullycarnet Primary School,46,33,71.70%
4013043,Lead Hill Primary School,140,22,15.70%
4013044,Carryduff Primary School,203,46,22.70%
4013045,Grange Park Primary School,410,53,12.90%
4013046,Alexander Dickson Primary School,85,24,28.20%
4013305,"Harmony Hill Primary School, Lisburn",632,77,12.20%
4013334,Knockmore Primary School,192,101,52.60%
4016002,Kilcooley Primary School,178,130,73.00%
4016004,Londonderry Primary School,396,115,29.00%
4016020,Carrowdore Primary School,176,42,23.90%
4016067,Rathmore Primary School,639,90,14.10%
4016083,West Winds Primary School,186,145,78.00%
4016104,Moira Primary School,406,35,8.60%
4016111,Towerview Primary School,430,57,13.30%
4016123,Spa Primary School,186,22,11.80%
4016126,Andrews Memorial Primary School,334,32,9.60%
4016144,Old Warren Primary School,159,92,57.90%
4016145,"Killowen Primary School, Lisburn",464,128,27.60%
4016192,Kilmaine Primary School,678,81,11.90%
4016201,Academy Primary School,447,55,12.30%
4016202,Ballinderry Primary School,252,27,10.70%
4016235,Downpatrick Primary School,213,74,34.70%
4016396,Killinchy Primary School,358,22,6.10%
4016399,Abbey Primary School,598,163,27.30%
4016401,Pond Park Primary School,621,122,19.60%
